Название,Жанр,Режиссер,Страна,Год,IMDB
Дикарь,"приключенческий фильм,комедия,драма,мелодрама",Жан-Поль Раппно,"Франция,Италия",1975,6.5
Дикая вечеринка,"драма,комедия",Джеймс Айвори,"США,[1],[2]",1975,5.3
Граф Монте-Кристо,"приключенческие фильмы,драма",Дэвид Грин,"Великобритания,Италия",1975,6.9
Джина,драматический фильм,"Дени Аркан,[1]","Канада,[1]",1975,6.4
День возмездия,красный вестерн,"Альгимантас Пуйпа,Стасис Мотеюнас",СССР,1975,6.1
Девушка с Петровки,"романтическая комедия,драматический фильм",Роберт Эллис Миллер,США,22 августа,5.2
Грубость,боевик,"[it], ,(под именем Франко Мартинелли)",Италия,1975,5.3
Джулия,мелодрама,К. С. Сетумадхаван,Индия,1975,6.2
Дерсу Узала,"драма,приключения","Акира Куросава,Владимир Васильев","СССР,Япония",1975,8.2
Горькая ягода,"детский фильм, мелодрама",Камара Камалова,СССР,1975,8.1
Гонки с дьяволом,триллер,Джек Старретт,США,1975,6.6
Горянка,драма,Ирина Поплавская,СССР,1975,6.0
Говорящая вагина,порнофильм,"[fr], (, ,Claude Mulot,)",Франция,1975,5.5
Гороскоп Элизы,драма,Гордон Шеппэрд,Канада,1975,4.2
Похищение скакуна,истерн,Халмамед Какабаев,СССР,1978, 
Главное — любить,драма,Анджей Жулавский,"Франция,ФРГ,Италия",Верность,7.0
Восход над Гангом,,Латиф Файзиев,"СССР,Индия",1975, 
Гинденбург,"триллер,драма,история,фильм-катастрофа",Роберт Уайз,США,Кинг-Конг,6.2
Волшебная флейта,музыкальный фильм,Ингмар Бергман,Швеция,В присутствии клоуна,7.5
Вставки,"драма,комедия",Джон Байрам,Великобритания,1975,6.3
Всадник с молнией в руке,"приключения, драма, биография, история",Хасан Хажкасимов,СССР,1975, 
Последняя альтернатива,"фантастика,детектив,телеспектакль",Владимир Латышев,СССР,1978, 
Все в семье,комедия,[zh],Гонконг,1975,5.3
Втихаря,комедийный фильм,Ришикеш Мукерджи,Индия,1975,8.3
Волчья стая,"военный, экранизация",Борис Степанов,СССР,1975,7.1
Вознесение матушки Кюстерс,драма,Райнер Вернер Фасбиндер,ФРГ,ФРГ,7.5
Возмутительный класс,"комедия, драма",Эртем Эгилмез,,1975,9.2
Воздухоплаватель,"приключения, драма, фильм-биография","Анатолий Вехотко,Наталия Трощенко",СССР,1975,6.2
Возвращение,"телеспектакль, комедия, драма, экранизация",Павел Резников,,1975,5.8
Вечеринка удовольствий,"Криминальная,драма",Клод Шаброль,"Франция,Италия",1975,6.3
Возвращение Розовой пантеры,комедия,Блейк Эдвардс,"США,Великобритания",1975,7.0
Дума о Ковпаке,"драма,военный фильм",Тимофей Левчук,СССР,,7.4
Женщина-оборотень,"фильм ужасов,[1]",Рино Ди Сильвестро,Италия,1976,5.0
Вкуси пулю,вестерн,Ричард Брукс,США,1975,6.6
Вкус халвы,"комедия,музыкальный фильм,семейный фильм,сказка",Павел Арсенов,СССР,1975,4.5
Дракула — отец и сын,"комедия,фильм ужасов",Эдуар Молинаро,Франция,1976,5.4
Долгое путешествие к морю,драма,Альгирдас Араминас,СССР,1976,8.1
Древо желания,"драма,притча",Тенгиз Абуладзе,СССР,1976,8.1
Дорогой Микеле,драма / комедия,Марио Моничелли,Италия,,6.4
"Додумался, поздравляю!",детский фильм,Эдуард Гаврилов,СССР,,5.6
Доверие,"драма,триллер","Викас Десаи, Аруна Радж",Индия,1976,6.9
Дни Турбиных,драма,Владимир Басов,СССР,1976,7.7
Дом со смеющимися окнами,фильм ужасов,Пупи Авати,Италия,1976,7.0
Дни хирурга Мишкина,драма,Вадим Зобин,СССР,1976,6.9
Дона Флор и два её мужа,комедия,Бруну Баррету,Бразилия,1976,6.9
Дневник Карлоса Эспинолы,драматический фильм,Валентин Селиванов,СССР,1976, 
Джоси Уэйлс - человек вне закона,вестерн,Клинт Иствуд,США,1976,7.8
Джек-потрошитель,фильм ужасов,"Хесус Франко,[1],[2],[…]","Германия,Швейцария",1976,5.3
Дневной поезд,мелодрама,Инесса Селезнёва,СССР,1976,7.3
"Длинное, длинное дело…",детектив,", ",СССР,1976,6.2
Деревня Утка,сказка,Борис Бунеев,СССР,1976,7.1
День Шакала,триллер,Фред Циннеман,"Великобритания,Франция",16 мая,7.8
День семейного торжества,драма,Барас Халзанов,СССР,1976,6.3
Дервиш взрывает Париж,комедия,"Шамиль Махмудбеков,Кямиль Рустамбеков",СССР,1976,7.7
Двадцать дней без войны,драма,Алексей Герман,СССР,1976,7.7
Двадцатый век,драма,Бернардо Бертолуччи,"Италия,Франция,ФРГ",1976,7.6
"Девочка, что живёт в конце улицы",Психологическая драма,Николас Жесснер,"Канада,Франция",1976,7.0
Далёкие близкие годы,"драма,истерн,приключения",Камиль Ярматов,СССР,1976,4.4
Дамы и гусары,комедия,"Анатолий Ниточкин,Александра Ремизова",СССР,1976,7.4
Дальше некуда!,комедия,Жорж Лотнер,Франция,1976,6.1
Грозный век,"фильм-балет, драма",",, ",СССР,1976,7.8
Дагни,"фильм-биография,драма",Хокон Саннёй,"Польша,Норвегия",1976,5.4
Губная помада,"Драма,Триллер",Ламонт Джонсон,,1976,5.6
